host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
elachjanzen01_janzen51	13	7	20	6	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	13	10
elachjanzen01_janzen523	5	2	7	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	2	2
elachjanzen01_janzen527	8	1	9	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	1	1
elachjanzen01_janzen590	3	3	6	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	2	2
elachjanzen01_janzen644	23	2	25	3	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	17	14
elachjanzen01_janzen693	51	2	53	13	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	33	19
elachjanzen01_janzen725	6	2	8	1	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	6	5
elachjanzen01_janzen726	24	1	25	7	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	11	8
elachjanzen01_janzen735	60	1	61	10	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	48	35
elachjanzen01_janzen764	76	3	79	21	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	57	18
elachjanzen01_janzen786	1	1	2	0	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	1	1
elachjanzen01_janzen841	2	2	4	1	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	2	2
elachjanzen01_janzen861	3	1	4	2	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	2	2
elachjanzen01_janzen873	11	5	16	6	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	NA	NA	elachJanzen01	NA	11	7
