host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
immidjanzen01_janzen15	10	1	11	0	n	Arthropoda	Insecta	Lepidoptera	Immidae	NA	NA	immidJanzen01	NA	10	9
immidjanzen01_janzen26	4	3	7	0	n	Arthropoda	Insecta	Lepidoptera	Immidae	NA	NA	immidJanzen01	NA	4	2
immidjanzen01_janzen29	3	1	4	0	n	Arthropoda	Insecta	Lepidoptera	Immidae	NA	NA	immidJanzen01	NA	3	3
immidjanzen01_janzen51	13	9	22	0	n	Arthropoda	Insecta	Lepidoptera	Immidae	NA	NA	immidJanzen01	NA	11	8
inga_biolep146	57	4	61	24	n	Arthropoda	Insecta	Lepidoptera	Oecophoridae	Oecophorinae	NA	Inga	NA	42	28
inga_janzen61	50	40	90	16	n	Arthropoda	Insecta	Lepidoptera	Oecophoridae	Oecophorinae	NA	Inga	NA	39	28
ipanephis_esperanzalis	113	2	115	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	NA	Ipanephis	NA	54	32
iridopsis_herse	2	4	6	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Iridopsis	NA	1	1
iridopsis_lurida	152	2	154	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Iridopsis	NA	136	77
isanthrene_echemon	38	8	46	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Isanthrene	NA	38	27
iscadia_argentea	23	9	32	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Iscadia	NA	17	13
iscadia_furcifera	0	4	4	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iscadia_furciferadhj01	30	2	32	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Iscadia	NA	26	17
iscadia_poole02dhj03	113	10	123	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Iscadia	NA	62	45
iscadia_poole05	7	1	8	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Iscadia	NA	7	7
iscadia_poole06	13	2	15	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Iscadia	NA	7	7
iscadia_producta	0	6	6	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iscadia_purpurascens	71	5	76	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Eligminae	NA	Iscadia	NA	69	48
ischnopteris_bifinita	4	1	5	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Ischnopteris	NA	4	2
ischnopteris_bryifera	2	1	3	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Ischnopteris	NA	2	1
isochaetes_dwagsidhj04	67	4	71	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Isochaetes	NA	55	17
isochaetes_kenjii	1	11	12	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Isochaetes	NA	1	1
isochromodes_sheiladhj01	16	1	17	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Isochromodes	NA	15	15
isochromodes_sheiladhj04	9	2	11	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Isochromodes	NA	7	7
isognathus_rimosa	75	5	80	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Isognathus	NA	74	56
isogona_capitalis	25	1	26	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	NA	Isogona	NA	24	18
isogona_natatrix	41	2	43	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	NA	Isogona	NA	33	27
isogona_poole02	49	1	50	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	NA	Isogona	NA	48	25
isogona_poole03	12	1	13	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	NA	Isogona	NA	12	10
isogona_poole05	15	1	16	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	NA	Isogona	NA	15	11
isostyla_zetila	37	13	50	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Dioptinae	NA	Isostyla	NA	20	17
itaballia_centralis	9	5	14	0	n	Arthropoda	Insecta	Lepidoptera	Pieridae	Pierinae	NA	Itaballia	NA	8	8
ithomia_hippocrenis	14	3	17	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	NA	Ithomia	NA	14	13
ithomiola_calculosa	1	2	3	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Ithomiola	NA	1	1
itomia_intrahens	17	2	19	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Ophiusini	Itomia	NA	12	9
jemadia_pseudognetus	31	2	33	22	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Jemadia	NA	28	28
jemadia_suekentonmiller	14	5	19	11	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Jemadia	NA	14	14
joanna_joanna	22	4	26	22	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Joanna	NA	21	20
jonaspyge_aesculapus	16	1	17	9	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Jonaspyge	NA	15	14
juditha_caucana	176	35	211	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Juditha	NA	101	83
justinia_burns01	59	7	66	44	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Justinia	NA	44	42
justinia_norda	28	7	35	21	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Justinia	NA	24	22
lacosoma_maldera	137	7	144	0	n	Arthropoda	Insecta	Lepidoptera	Mimallonidae	Lacosominae	NA	Lacosoma	NA	133	85
lacosoma_valera	27	4	31	0	n	Arthropoda	Insecta	Lepidoptera	Mimallonidae	Lacosominae	NA	Lacosoma	NA	26	24
lactura_subfervensdhj01	10	18	28	0	n	Arthropoda	Insecta	Lepidoptera	Lacturidae	NA	NA	Lactura	NA	10	8
lamprosema_dapkey23	16	3	19	4	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Lamprosema	NA	9	7
lampruna_rosea	155	6	161	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Lampruna	NA	150	83
laothus_barajo	20	1	21	0	n	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Theclinae	NA	Laothus	NA	17	14
lasaia_agesilas	5	1	6	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Lasaia	NA	5	5
lepidodes_gallopavo	46	1	47	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Diphtherinae	NA	Lepidodes	NA	46	38
lepidodes_poole01	84	49	133	0	n	Arthropoda	Insecta	Lepidoptera	Nolidae	Diphtherinae	NA	Lepidodes	NA	65	42
lepidokirbyia_vittipes	111	4	115	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Lepidokirbyia	NA	102	68
leptostales_janzen261	32	4	36	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Sterrhinae	NA	Leptostales	NA	16	10
lerema_liris	42	16	58	26	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Lerema	NA	40	39
lesmone_aemylia	36	16	52	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Ophiusini	Lesmone	NA	25	22
lesmone_formularis	168	6	174	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Ophiusini	Lesmone	NA	156	87
lesmone_gentilis	25	1	26	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Ophiusini	Lesmone	NA	25	20
lethata_trochalosticta	126	25	151	30	n	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	NA	Lethata	NA	88	59
letis_buteodhj01	31	4	35	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Thermesiini	Letis	NA	29	28
letis_buteodhj02	41	1	42	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Thermesiini	Letis	NA	40	34
letis_mycerina	65	12	77	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Thermesiini	Letis	NA	61	43
leucanella_hosmera	19	39	58	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Hemileucinae	Hemileucini	Leucanella	NA	12	11
leuciris_fimbriaria	3	5	8	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Leuciris	NA	1	1
leucochimona_iphias	46	2	48	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Leucochimona	NA	35	33
leucochimona_molina	36	3	39	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Leucochimona	NA	23	14
leucochromodes_melusinalisdhj01	93	26	119	19	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Leucochromodes	NA	60	15
leucotmemis_nexa	103	41	144	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Leucotmemis	NA	103	64
libytheana_carinenta	14	2	16	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Libytheinae	NA	Libytheana	NA	10	6
lineodes_integradhj01	10	1	11	7	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Lineodes	NA	10	6
lintneria_merops	1	4	5	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Lintneria	NA	1	1
lirimiris_guatemalensis	0	1	1	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lirimiris_lignitecta	49	8	57	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Dicranurinae	NA	Lirimiris	NA	45	35
lobeza_medina	0	20	20	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lomographa_argentatadhj02	54	1	55	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Lomographa	NA	52	39
lomographa_argentatadhj03	70	1	71	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Lomographa	NA	69	42
lonomia_columbiana	2	9	11	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Hemileucinae	Hemileucini	Lonomia	NA	2	2
lonomia_concordia	92	5	97	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Hemileucinae	Hemileucini	Lonomia	NA	87	62
lonomia_electra	0	8	8	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lonomia_rufescens	0	4	4	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lophocampa_catenulata	30	3	33	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Lophocampa	NA	30	18
lophocampa_citrina	0	23	23	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lophocampa_maroniensis	3	6	9	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Lophocampa	NA	3	1
lophocampa_modesta	4	24	28	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Lophocampa	NA	4	2
lophocampa_modestadhj01	37	12	49	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Lophocampa	1	32	31
lophomyra_poole02	48	7	55	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Amphipyrinae	NA	Lophomyra	NA	34	11
loxiorhiza_unitula	46	5	51	0	n	Arthropoda	Insecta	Lepidoptera	Thyrididae	Siculodinae	NA	Loxiorhiza	NA	34	31
luca_livida	5	5	10	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Luca	NA	1	1
lycorea_atergatis	20	24	44	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	NA	Lycorea	NA	20	18
lygropia_tripunctatadhj01	11	1	12	11	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Lygropia	NA	11	5
lygropia_tripunctatadhj02	39	1	40	18	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Lygropia	NA	35	20
lygropia_tripunctatadhj04	15	1	16	4	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Lygropia	NA	11	8
lygropia_tripunctatadhj06	27	1	28	9	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Lygropia	NA	21	12
lyricinus_xylophasioides	22	2	24	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Lyricinus	NA	22	17
lysana_janzen02	59	5	64	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Lysana	NA	39	37
lysana_plusiana	7	1	8	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Nystaleinae	NA	Lysana	NA	2	2
macalla_niveorufa	0	1	1	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
macalla_niveorufadhj02	67	5	72	11	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Macalla	NA	53	44
macalla_thyrsisalis	77	11	88	8	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Macalla	NA	75	34
macaria_abydatadhj02	16	2	18	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Macaria	NA	15	13
macaria_approximaria	32	1	33	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Macaria	NA	29	26
macaria_biolep11	28	2	30	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Macaria	NA	27	20
macaria_biolep12	23	1	24	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Macaria	NA	9	5
macaria_nundinata	122	3	125	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Macaria	NA	86	44
macaria_pernicata	39	24	63	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Macaria	NA	38	17
macrocneme_cabimensis	86	71	157	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Macrocneme	NA	83	77
macrocneme_iole	150	9	159	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Macrocneme	NA	133	101
macrodes_cynara	66	5	71	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	NA	Macrodes	NA	57	41
macroprota_janzen16	8	2	10	0	n	Arthropoda	Insecta	Lepidoptera	Thyrididae	Siculodinae	NA	Macroprota	NA	5	5
macroprota_rhomboidea	18	2	20	0	n	Arthropoda	Insecta	Lepidoptera	Thyrididae	Siculodinae	NA	Macroprota	NA	4	4
macrosoma_cascaria	4	5	9	0	n	Arthropoda	Insecta	Lepidoptera	Hedylidae	Hedylinae	NA	Macrosoma	NA	2	2
macrosoma_conifera	111	2	113	0	n	Arthropoda	Insecta	Lepidoptera	Hedylidae	Hedylinae	NA	Macrosoma	NA	101	68
macrosoma_heliconiaria	30	2	32	0	n	Arthropoda	Insecta	Lepidoptera	Hedylidae	Hedylinae	NA	Macrosoma	NA	21	18
macrosoma_rubedinariadhj02	36	1	37	0	n	Arthropoda	Insecta	Lepidoptera	Hedylidae	Hedylinae	NA	Macrosoma	NA	33	28
macrosoma_tipulatadhj01	7	1	8	0	n	Arthropoda	Insecta	Lepidoptera	Hedylidae	Hedylinae	NA	Macrosoma	NA	7	6
madoryx_bubastus	2	1	3	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Madoryx	NA	2	2
madoryx_oiclus	30	1	31	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Madoryx	NA	30	24
madoryx_plutonius	37	2	39	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Madoryx	NA	34	25
magneuptychia_libye	54	1	55	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Satyrinae	NA	Magneuptychia	NA	45	26
magusa_divaricata	186	11	197	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Noctuinae	Dypterygiini	Magusa	NA	180	67
malocampa_matralis	88	11	99	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Malocampa	NA	60	55
malocampa_mephitis	47	4	51	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Malocampa	NA	42	33
malocampa_obscura	22	1	23	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Malocampa	NA	14	14
malocampa_piratica	0	3	3	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
malocampa_piraticadhj01	23	1	24	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Malocampa	NA	23	22
malocampa_punctata	0	3	3	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
malocampa_satisdhj02	30	7	37	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Malocampa	NA	26	23
malocampa_subguttata	44	10	54	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Malocampa	NA	42	37
mamerthes_nigrilinea	20	1	21	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	NA	Mamerthes	NA	20	20
manataria_maculata	18	2	20	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Satyrinae	NA	Manataria	NA	17	12
manduca_albiplaga	48	15	63	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	43	41
manduca_barnesi	38	1	39	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	38	24
manduca_corallina	116	6	122	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	115	66
manduca_dilucida	65	44	109	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	64	39
manduca_lanuginosa	90	13	103	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	90	26
manduca_lefeburii	30	12	42	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	3	30	17
manduca_muscosa	39	17	56	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	38	21
manduca_occulta	2	41	43	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	2	2
manduca_ochus	13	1	14	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	13	13
manduca_pellenia	44	43	87	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	2	41	38
manduca_rustica	88	46	134	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	86	64
manduca_sexta	2	31	33	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	3	2	2
manduca_sextadhj02	59	2	61	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	53	33
manduca_sextadhj03	52	10	62	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Manduca	NA	42	38
maracayia_janzen05	8	4	12	0	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Maracayia	NA	4	2
marimatha_botyoidesdhj04	10	3	13	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Eustrotiinae	NA	Marimatha	NA	3	3
marpesia_chiron	30	1	31	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Cyrestinae	NA	Marpesia	NA	12	9
marpesia_petreus	21	15	36	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Cyrestinae	NA	Marpesia	NA	18	14
massala_abdara	10	1	11	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Eulepidotinae	Panopodini	Massala	NA	8	7
massepha_grammalisdhj01	57	2	59	26	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Pyraustinae	NA	Massepha	NA	37	23
mechanitis_isthmia	73	66	139	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	NA	Mechanitis	NA	59	29
megalopyge_albicollis	118	7	125	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	96	88
megalopyge_dyaridhj03	66	4	70	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	64	42
megalopyge_dyaridhj04	5	1	6	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	5	5
megalopyge_hina	16	8	24	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	14	12
megalopyge_janzen03	25	1	26	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	24	22
megalopyge_janzen06	43	30	73	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	40	32
megalopyge_lanata	8	3	11	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Megalopyginae	NA	Megalopyge	NA	8	8
megalota_brown15dhj01	70	5	75	4	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Megalota	NA	53	14
megalota_crassana	74	15	89	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Megalota	NA	49	32
megalota_ochreoapex	87	7	94	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Megalota	NA	49	19
megalota_spinulosa	119	13	132	1	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Megalota	NA	86	60
melanchroia_chephise	0	10	10	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
melanis_sanguinea	20	6	26	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Melanis	NA	19	16
melanopyge_burns01	21	1	22	9	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Melanopyge	NA	18	16
melese_asana	8	1	9	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	8	5
melese_espinoza01	135	1	136	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	132	79
melese_flavimaculata	7	2	9	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	6	2
melese_incertus	151	1	152	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	131	105
melese_laodamiadhj02	46	1	47	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	46	31
melese_monima	108	1	109	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	104	74
melese_sixola	38	1	39	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Melese	NA	36	28
melete_isandra	59	15	74	0	n	Arthropoda	Insecta	Lepidoptera	Pieridae	Pierinae	NA	Melete	NA	57	17
melinodes_detersaria	8	1	9	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Melinodes	NA	8	6
melipotis_cellaris	0	1	1	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
melipotis_famelica	25	11	36	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Melipotini	Melipotis	NA	25	19
melipotis_fasciolaris	3	1	4	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Melipotini	Melipotis	NA	3	2
melipotis_januaris	7	1	8	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Melipotini	Melipotis	NA	5	4
melipotis_perpendicularisdhj02	47	3	50	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Erebinae	Melipotini	Melipotis	NA	47	33
memphis_artacaena	17	8	25	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	17	16
memphis_aulica	60	3	63	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	46	44
memphis_beatrix	37	3	40	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	31	31
memphis_cleomestra	17	13	30	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	10	12	12
memphis_forreri	108	38	146	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	10	108	97
memphis_glauce	6	2	8	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	6	6
memphis_indigotica	30	6	36	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	26	25
memphis_mora	48	5	53	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	32	28
memphis_pithyusa	73	32	105	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	67	56
memphis_proserpina	26	92	118	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Charaxinae	NA	Memphis	NA	24	21
menevia_ostia	51	1	52	0	n	Arthropoda	Insecta	Lepidoptera	Mimallonidae	NA	NA	Menevia	NA	30	29
meragisa_marcata	98	11	109	0	n	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	NA	Meragisa	NA	85	71
mesoscia_unifasciata	6	1	7	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Trosiinae	NA	Mesoscia	NA	4	4
mesosemia_asa	16	2	18	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Mesosemia	NA	16	8
mesosemia_carissima	83	17	100	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Mesosemia	6	50	47
mesosemia_coelestis	12	1	13	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Mesosemia	NA	11	9
mesosemia_grandis	34	16	50	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Mesosemia	6	31	31
mesosemia_lamachus	45	4	49	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Mesosemia	NA	38	31
mesotaenia_barnesi	18	1	19	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Biblidinae	NA	Mesotaenia	NA	18	15
metacharis_victrix	26	2	28	0	n	Arthropoda	Insecta	Lepidoptera	Riodinidae	Riodininae	NA	Metacharis	NA	20	18
methionopsis_ina	61	27	88	55	y	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Methionopsis	NA	60	54
micromartinia_mnemusalis	22	1	23	9	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Pyraustinae	NA	Micromartinia	NA	22	19
